Numero;Titulo;Precio;Rating;Precio_GBP;Rating_Numerico;_fuente;Direccion;Caracteristicas;Descripcion;Precio_Numerico
1;;S/ 27,920 · USD 8,500,000;;;;viviendas_adonde;Belair;5300 m² tot. | 7 dorm. | 8 baños;Hall de ingreso con techos altos, amplia sala con chimenea y techo a doble altura, bar estilo Ingles de madera precioso, amplio comedor con vista al jardín y salida a una amplia terraza de 3 niveles, baño de visita enchapado en mármol. Dos salas de estar, 7 dormitorios cada uno con baño incorporado. Dormitorio principal es una gran suit, con chimenea, 2 walk in closet y baño con jacuzzi. Amplia cocina con 3 despensas e isla con comedor de diario. Rodeado de hermosos y amplios jardines, terraza, zona de parrilla, piscina con tobogán, Cancha de tenis. Zona de Gimnasio, Sauna húmeda y fría, jacuzzi y Piscina temperada. Techada. Area de servicio: lavandería, 2 cuartos y baño de servicio. Estacionamiento techado para 4 autos. Dos plantas, 20 años de antigüedad, zona residencial, impecable. En zona social pisos de madera, zona de dormitorios tiene alfombra de alto tránsito. Esta propiedad no se alquila para eventos. alquila Inmobiliaria Mercedes Solidoro - ims Agentes. C. 9 9 6 5 9 4 6 3 3 // C. * 9 9 9 8 5 2 2 2 2 *;279208500000.0
2;;S/ 3,700 · USD 1,100;;;;viviendas_adonde;Jose Gonzales Cuadra 7;92 m² tot. | 2 dorm. | 2 baños | 1 estac.;Venta Y alquiler de departamento en miraflores cerca A av 28 de julio Y malecon de miraflores disponible A partir del 22 de abril pero se puede negociar si se quiere antescaracteristicas92 M2 amobladosala comedor balcon de 5 metros2 dormitorios 2 baños estudio O sala de estar cocina americana con tablero de granito1 cochera lavanderia pisos de madera mantenimiento 355 soles 20 años de antiguedadprecio de venta 220, 000 dolares con todos los mueblesprecio de alquiler 1100 dolares;37001100.0
3;;S/ 33,429 · USD 9,979;;;;viviendas_adonde;Calle German Schreiber Gulsmanco 210;587 m² tot. | 8 baños;Oficina: La oficina se encuentra implementada con aire acondicionado, luminarias, piso de porcelanato, techo expuesto, sistema contra incendio, baños completos de hombre y mujer, kitchenette, área para data center. Cuenta con comedor para los colaboradores de tu empresa. (espacios disponibles desde 293 m2 hasta 2055 m2). Edificio: Corporativo tipo boutique de solo 9 pisos de oficinas que albergan únicamente empresas, 2 elevadores, buena iluminación natural mediante sus dos frentes de luz para optimizar el consumo de electricidad, muro cortina con ventanas batientes, escaleras de emergencia, sistemas de seguridad, sistema de control de accesos, aire acondicionado centralizado, cocheras de visitas y discapacitados, lobby con recibidor y muebles de espera, 2 bombas de agua, centro de control y seguridad, centro de monitoreo, zona de atención a proveedores y fácil salida vehicular. Ubicación: El edificio se encuentra en el centro empresarial San Isidro Financiero, con conexión a las principales avenidas del distrito, como Av. Canaval y Moreyra, Av. Navarrete, Calle Begonias, Av. Juan de Arona, la Av. Javier Prado, Av. República de Panamá y fácil salida a la Vía Expresa. A solo una cuadra de la Estación del Metropolitano. Está rodeado de alto comercio que beneficiará a tu empresa y colaboradores, tales como bancos, restaurantes de primer nivel, menú de comida diaria, centros comerciales, supermercados, tiendas de conveniencia, notarias, tiendas por departamento, estacionamiento público, parques, edificios corporativos, cafeterías, entre otros. Precio de cada estacionamiento: us$ 180. 00 + igv c/u. *Tipo de cambio referencial. **Visitas con previa coordinación. *Precio no incluye estacionamientos;334299979.0
4;;S/ 12,100 · USD 3,500;;;;viviendas_adonde;AV CERROS DE CAMACHO 637;256 m² tot. | 3 dorm. | 3 baños | 2 estac.;Lindo departamento finamente amoblado y equipado. 3 dormitorios cada uno con baño incorporado. Cocina grande con isla y comedor de diario. Linea blanca completa. Area de servicio de buen tamaño. Excelente vista al golf los inkas. Areas comunes: piscina, jardines, area de bbq, gimnasio. Av. Cerros de camacho N°6, Dpto. 201. alquiler Mensual: us$ 3, 500. 00, A. O. : 256. 00 m2, A. C. : 256. 00 m2, Mant. : S/. 2000 x mes. 9 pisos, amoblado y equipado, 10 años de antiguedad, vista al golf, impecable, bloque 1, piso 2, 2 departamentos por piso, 18 departamentos en total, guardianía, flat. Hall de ingreso, sala, comedor, comedor de diario, cocina, sala de estar, 3 dormitorios, 3. 5 baños, 3 baños incorporados, 1 cuarto de servicio, 1 baño de servicio, lavandería, 1 depósito, pisos de madera en área social, pisos de madera en área privada. Terraza, piscina, 2 cocheras tipo paralelas en sotano, ascensor. Areas comunes, permite mascotas, walk-in closet, area de bbq, areas verdes, gimnasio, disponible.;121003500.0
5;;S/ 31,030 · USD 8,166;;;;viviendas_adonde;Av. Manuel Olguin;510 m² tot.;1) oficina- Oficina en alquiler o venta, se encuentra implementada y amoblada- Cuenta con un área de 510m² y tiene 10 estacionamientos- Con capacidad instalada para más de 87 puestos de trabajo. - La oficina tiene una vista e iluminación natural espectacular- La oficina tiene un alto estándar de implementación y conservación- Alquiler: usd 8, 166 / Venta: usd 1, 071, 861 (precios no incluyen impuestos ni estacionamientos asignados.) 2) edificio- Categoría Prime A+ uno de los mejores, más modernos y equipados edificios del Perú- Áreas comunes: comedor, 3 salas de directorio, 3 salas de conferencias, Gimnasio y bar inglés. - Diseño moderno y vanguardista: Un entorno inspirador que refleja la imagen profesional de tu empresa- Acabados de primera calidad: Materiales de alta calidad y atención al detalle para garantizar confort y sofisticación. 3) ubicación- Dirección: Av. Manuel Holguín con el Derby, Santiago de Surco. - Estratégicamente ubicado cerca de la Av. Javier prado, Panamericana Sur y Circunvalación. - A pocos minutos del Jockey Plaza y el cc El Polo. - Fácil acceso por transporte público;310308166.0
6;;Consultar precio;;;;viviendas_adonde;Av. La Paz 1049;424 m² tot.;Oficinas: - Contamos con oficinas en alquiler desde 434 m² hasta plantas completas de 1, 300 m². - Oficinas modernas listas para usar: implementadas, amobladas y en casco/gris. Edificio: - Moderno edificio categoría Prime con certificación leed. - Áreas comunes: 2 salas de usos múltiples, 1 directorio, comedor y terraza. - Respaldo de energía eléctrica del 100% por grupo electrógeno. Ubicación: - Dirección: Av. La Paz con 28 de Julio, Distrito Miraflores. - A una cuadra de la Estación 28 de julio del Metropolitano, Vía Expresa y la Costa Verde. - Diversos servicios complementarios en el entorno: Hoteles, bancos, notarias, restaurantes, centros comerciales. En repropiedades, somos líderes en el mercado de propiedades corporativas, ofreciendo la mas amplia cartera de opciones para satisfacer las necesidades de todo tipo de empresas. Entendemos la importancia de encontrar el espacio adecuado para tu empresa. Contáctanos hoy mismo y permítenos proporcionarte la mejor asesoría.;
7;;S/ 3,800 · USD 1,200;;;;viviendas_adonde;EL Silencio ML Malecon Intermedio 827 Depto Casa 01 MZ H Lote 18;80 m² tot. | 2 dorm. | 2 baños;Ven a conocer tu nuevo hogar en Punta Hermosa! Hermoso Flat amoblado de 80 m2, que cuenta con una amplia terraza con bbq, amplio dormitorio climatizado con cama king y espectacular vista al mar, además un 2o dormitorio con baño doble. Ubicado en la exclusiva zona de Playa Caballeros en 2a fila en Punta Hermosa, un lugar para el descanso y el relax. Este departamento se alquila amoblado y estará disponible a partir del 5 de abril de 2026, ofreciendo la oportunidad de vivir un verano eterno en una ubicación privilegiada. Cuenta con servicios de agua, internet, electricidad y alumbrado público (no incluido en el precio de alquiler) . La zona se caracteriza por su tranquilidad, acceso a restaurantes cercanos y turismo, no lo piense más y resérvalo.;38001200.0
8;;S/ 5,695 · USD 1,700;;;;viviendas_adonde;Av. Angamos Oeste;112 m² tot. | 2 estac.;Oficina ubicada en moderno Centro Empresarial en una de las principales avenidas de Miraflores, ideal para empresas que buscan una ubicación estratégica, servicios corporativos y un entorno profesional. Características del Edificio: Centro Empresarial de alto estándar. 03 ascensores. Comedor para colaboradores. Terraza. Sala de directorio. Salón de usos múltiples. Seguridad y control de accesos. Características de la Oficina. Área: 112. 00 m² Vista: Externa. Ambientes iluminados con ventanas. Distribución: 1 ambiente. Baño: 2. Estacionamiento: 2 (cada uno en 150. 00 usd) Oficina implementada. Implementación. Pisos de porcelanato. Techo tipo cielo raso. Luminarias instaladas. Tomacorrientes. Sistema contra incendios. Precio de Alquiler: Oficina y 2 estacionamientos usd 2, 000 precio fijo. Ideal para empresas consultoras o estudios profesionales que buscan una oficina funcional y bien ubicada en Miraflores. Citas faciles. agente: jacqueline benavente | pn6686. telf: Ver datos /Ver datos / Ver datos;56951700.0
9;;S/ 25,248 · USD 1,171,099;;;;viviendas_adonde;Av. Club Golf Los Incas 154;498 m² tot.;Oficina: Premium de 498. 34 m2, implementada con piso alfombrado y laminado, divisiones en drywall, combinación de techo expuesto y cielo raso sectorizado, luminarias, sistema contra incendio, sistema de aire acondicionado, mamparas de vidrio, archivadores, kitchenette con credenzas bajas y altas, interruptores, puntos de red y electricidad. Cuenta con espacios abiertos para el pool de trabajadores, así como oficinas privadas, salas de reuniones, directorio, cuarto data center, recepción, kitchenette, deposito, cuarto economato, lactario, archivadores y cuarto de limpieza. Otros tamaños de oficinas disponibles: 1, 125. 57 m2. 893. 63 m2. 705. 65 m2. 419. 92 m2. 392. 93 m2. 231. 94 m2. 162. 99 m2. ubicación: Ubicada en el centro de negocios de Surco, en un entorno de oficinas premium, con vista espectacular hacia el Golf Los Incas, frente a Wong de Camacho, con acceso a vías principales como Av. Javier Prado Este, Av. Golf Los Incas, entre otras. Entorno comercial amplio, donde podrás encontrar, bancos, supermercados, cafeterías, notarias, centros comerciales, gimnasio, entre otros comercios. Edificio: Calificado con los más altos estándares de calidad, debido a su arquitectura, diseño y forma de operar. Cuenta con 4000 m2 de áreas comunes, amplios espacios abiertos integrando un diseño paisajista que complementa la espectacular vista al Golf desde todas sus oficinas. Además, cuenta con un Centro de convenciones con capacidad de hasta 700 personas, Sky bar, helipuerto, pisco bar, gym con peluquería express, play and care para niños y zona comercial. 18 ascensores con capacidad para 21 personas c/u, grupo electrógeno de respaldo para áreas comunes y oficinas, certificación leed silver, sala de usos múltiples, salas de reuniones y comedor para los colaboradores de tu empresa. Precio de estacionamientos Simples: Alquiler: us$ 150. 00 + igv c/u - Venta: us$ 16, 000. Precio de estacionamientos Dobles: us$ 270. 00 + igv c/u - Venta: us$ 25, 000;252481171099.0
10;;Consultar precio;;;;viviendas_adonde;Av. Pardo;186 m² tot.;Oficina- Oficina disponible de 186 m² implementada- Excelente vista a la calle y con buena iluminación- Estacionamientos disponiblesedificio- Moderno- Con lobby, directorio y comedor con terraza como áreas comunesubicación- Ubicado en el corazón de Miraflores- Buena conectividad: Cerca a avenidas principales, con acceso fácil al transporte- Cerca a centros comerciales, bancos, restaurantes y servicios corporativosCuota mensual de mantenimiento aproximado: 2. 5 usd x m2¿Buscas algo que se amolde mejor a tus necesidades? ¡Contáctanos!;
11;;S/ 40,800 · USD 12,000;;;;viviendas_adonde;Calle: Ayacucho 283;316 m² tot.;Local comercial exclusivo en Barranco, ideal para franquicias de alto rendimiento. Ubicado en Av. Ayacucho N°281, en Puente de los Suspiros, con 316 m². Ubicación Estratégica. En la entrada del Puente de los Suspiros, corazón bohemio de Barranco. Vista directa al puente y al mar. A media cuadra de la Plaza de Armas de Barranco. Zona de alto tráfico peatonal y comercial, rodeada de restaurantes, galerías y tiendas. Características Principales. Superficie: 316 m². Frontis: 10 m. Fondo: 31. 6 m. Perfecto para retail premium, gastronomía gourmet o servicios exclusivos. Condiciones de Alquiler. Renta mensual: $12, 000. Modalidad: 3 x1 (3 meses de garantía + 1 de adelanto).;4080012000.0
12;;S/ 4,711;;;;viviendas_adonde;Calle Dean Valdivia 148, Edificio Platinum Plaza I, Piso 11, San Isidro, Lima, Peru 27;75 m² tot. | 2 baños;Espacio de oficina en renta para 5 personas en lima, Platinum Plaza iaccede a un espacio luminoso e inspirador diseñado para ayudar a equipos de cinco a rendir al máximo. Haz de tu oficina un hogar para tu negocio en lima, Platinum Plaza I, ideal para 5 empleados. Nuestras oficinas grandes están completamente equipadas con WiFi de alta velocidad y tecnología empresarial. Ofrecemos opciones de oficina a corto y largo plazo para adaptarnos a las necesidades de tu equipo. Espacio de oficina sostenible en una ubicación prestigiosa. Mejore su perfil en el primer edificio de Perú que cuenta con una certificación leed de respeto al medio ambiente. Ubicado en la próspera zona de San Isidro, Platinum Plaza I es una impresionante y moderna sede para su negocio en un distrito donde es fácil establecer nuevas conexiones profesionales. Organice su próxima reunión en un lugar de trabajo colorido y con una abundante luz natural que entra por los grandes ventanales. Disfrute de un almuerzo en el tranquilo parque Combate de Abtao y, al caer la noche, entretenga a sus invitados en uno de los vibrantes restaurantes de San Isidro. Oficinas privadas de Regus incluyen: • Acceso a nuestra red global de centros de negocios• Equipo de recepción y soporte altamente capacitado• Tecnología segura de nivel empresarial y WiFi• Impresoras y soporte administrativo• Limpieza, servicios públicos y seguridad• Espacios disponibles por hora, día o mes• Eventos regulares de networking y comunidad• Reserva y gestión de cuenta fácil vía app• Diseños personalizables y flexibles• Escalabilidad o traslado según tus necesidades• Mobiliario ergonómico de alta calidad• Programa de beneficios con descuentos exclusivos y soporte de compras personalizado• Acceso adicional a 75 m² de espacio compartido• Precios desde 4711 S/. La oferta y el precio mostrados en este anuncio son aproximados y están sujetos a disponibilidad. Todas las imágenes mostradas pertenecen a nuestras ubicaciones, pero pueden no corresponder a este centro específico. Consulta ahora;4711.0
13;;S/ 5,500 · USD 1,650;;;;viviendas_adonde;EL Silencio ML Malecon Intermedio 827 Depto Casa 01 MZ H Lote 18;200 m² tot. | 4 dorm. | 3 baños | 2 estac.;Ubicado en la exclusiva zona de Punta Hermosa, en el sector de playa Caballeros en 2a fila, este impresionante dúplex ofrece una experiencia de vida inigualable frente al mar. Diseñado para quienes buscan el equilibrio perfecto entre comodidad y tranquilidad, este departamento es una joya que invita a disfrutar de cada momento. Con un total de 4 dormitorios, 3, 5 baños, 2 cocheras, amplia terraza con piscina privada, sala-comedor, kitchenette y lavandería, este espacio es ideal para familias grandes o para aquellos que disfrutan de recibir invitados. La terraza, con su piscina privada, se convierte en el escenario perfecto para relajarse y disfrutar de las vistas panorámicas del océano. Además, cuenta con áreas de descanso y lectura, así como un estudio para quienes necesitan un espacio tranquilo para trabajar o estudiar. Este departamento está amoblado y disponible a partir del 5 de abril de 2026, ofreciendo la oportunidad de vivir un verano eterno en una ubicación privilegiada. No tendrás que buscar más, ya que este será tu refugio ideal, cuenta con servicios como agua, internet, electricidad y alumbrado público. La zona se caracteriza por su tranquilidad, acceso a restaurantes cercanos y turismo. No pierdas la oportunidad de vivir en este exclusivo dúplex con vista al mar, donde cada día será una nueva aventura. El costo de alquiler no incluye servicios de agua, luz, wifi, mantenimiento, ni arbitrios, que corren por cuenta del inquilino. Agenda tu visita;55001650.0
14;;S/ 2,824 · USD 800;;;;viviendas_adonde;Balta;70 m² tot. | 2 dorm. | 1 baño;Hermoso departamento totalmente amoblado y equipado, inmejorable ubicacion dos dormitorios, baño, sala comedor, kitchenette. Alquiler mensual $800 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Hermoso departamento totalmente amoblado y equipado, inmejorable ubicacion dos dormitorios, baño, sala comedor, kitchenette. Alquiler mensual $800 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Hermoso departamento totalmente amoblado y equipado, inmejorable ubicacion dos dormitorios, baño, sala comedor, kitchenette. Alquiler mensual $800 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!;2824800.0
15;;S/ 15,540 · USD 4,200;;;;viviendas_adonde;Calle García y García 486-490;700 m² tot. | 24 dorm. | 3 baños | 6 estac.;Déjate sorprender por esta majestuosa casona estilo palacete ubicada en el emblemático distrito de La Punta, Callao. Con techos altos, pasillos señoriales y vitrales originales que llenan de luz y carácter cada rincón, esta joya arquitectónica ofrece el escenario perfecto para proyectos comerciales de alto impacto. 24 ambientes amplios. 6 baños. 6 estacionamientos internos. Perfecta para: ️ Restaurante con concepto. ️ Concept store o galería. ️ Oficinas administrativas. ️ Espacio cultural o académico. Ubicación estratégica: Calle García y García cuadra 4, a unos pasos del malecón, en una de las zonas con mayor proyección turística y cultural del Callao.;155404200.0
16;;S/ 2,100;;;;viviendas_adonde;Padre Urraca 111;83 m² tot. | 3 dorm. | 2 baños;Excelente oportunidad en san miguel super céntrico a Plaza San Miguel. caracteristicas del departamento: Metraje de 84 m2Ubicado en piso 12Sala comedor con amplia ventana y balcon. Cocina en concepto independiente con muebles alto y bajosLavandería independienteCuenta con 2 baños en total3 dormitorios-Dormitorio principal con vista externa, Walking closet, espacio para cama Queen con velador y baño principal completo con ducha y espejo. -Dormitorio secundario con vista a calle, espacio para cama de plaza y media cuenta con closet empotrado y espacio para escritorio. -Tercer dormitorio amplio con espacio para cama de plaza y media, velador y ya cuenta con closet. Paredes empastadas y pintadasPiso Laminado en todo el departamento y enchapado en la cocina y baño. incluye: Campana extractora, espejos de baño, closet, terma, luminarias y rollers. no incluye cochera. areas comuneslobby de Ingreso con seguridad 24/7Salón de sumsala de Reuniones para eventos grandesCuenta con 2 ascensores ampliospreciorentra mensual de S/2, 100 solesMantenimiento aprox de S/200 solesServicios de luz, agua y gas vendran independiente en base a su consumo. 121% comprometidos en brindarte un servicio de excelencia.;2100.0
17;;S/ 7,000 · USD 2,100;;;;viviendas_adonde;Av. Brasil N.° 1247 Segundo Piso más Azotea;260 m² tot. | 2 baños;"Local comercial 2do piso – av. Brasil C12 – clúster médico – 260 m²ao: 260 m2 / ac: 145. 69 m2 / Antigüedad: 75 años / ConservadoCondiciones del alquiler: Contrato mínimo un año renovable. A la firma del contrato se pagan 2 meses de garantía por 1 mes de adelanto. Ubicación estratégica dentro del clúster de salud (Hospital del Niño, Hospital Militar, Hospital pnp, clínicas y centros médicos) ; altura de la cuadra 12 de Av. Brasil, dentro del principal eje comercial y médico de Jesús María, se ofrece en alquiler este segundo nivel con ingreso independiente, ideal para actividades profesionales y comerciales de alto flujo. Ideal para: &amp;gt; Consultorios especializados&amp;gt; Clínica dental&amp;gt; Centro estético&amp;gt; Centro psicológico&amp;gt; Laboratorio clínico&amp;gt; Centro de terapias físicas&amp;gt; Estudio jurídico o contable&amp;gt; Oficinas administrativas&amp;gt; Centro de capacitación&amp;gt; Agencia de seguros o servicios financieros- Permisos compatibles con múltiples giros comerciales. - Independencia total del primer nivel. - Alto tránsito peatonal y vehicular. Características del Inmueble: Área techada: 145. 69 m²Área ocupada total: aprox. 260 m² (incluye aires) Ingreso independiente desde Av. BrasilHall de recepciónSalón principal de 35. 45 m² con balcón y excelente iluminación natural3 oficinas privadasAmbiente adicional adaptable (kitchennette / admin / depósito2 servicios higiénicosZonificación cz – Comercio ZonalSi buscas posicionar tu negocio en una de las avenidas más comerciales y consolidadas de Lima Centro, esta es una oportunidad estratégica. Agenda tu visita.";70002100.0
18;;S/ 2,900;;;;viviendas_adonde;Calle 2 de Mayo 524, Miraflores;65 m² tot. | 1 dorm. | 1 baño | 1 estac.;¡Bienvenido a tu nuevo hogar en el vibrante corazón de Miraflores! ¿Buscas un estilo de vida urbano con un toque moderno? Este departamento en la calle 2 de mayo, ubicado en el sexto piso, es perfecto para ti. A pesar de no contar con un área común o estacionamiento, su ubicación privilegiada lo compensa con creces. Imagina despertar cada mañana y tener a solo pasos las mejores cafeterías, restaurantes y tiendas que Miraflores tiene para ofrecer. Este departamento te ofrece la flexibilidad de personalizar cada espacio a tu gusto. Con cero gastos comunes, te dará la libertad financiera que buscas para invertir en decoración o mejoras que harán de este espacio, tu lugar soñado. Perfecto para aquellos que valoran la comodidad de vivir cerca de todo, y que buscan un espacio para convertir en su propio santuario urbano. Haz de este departamento tu lienzo en blanco y comienza a escribir tu historia en uno de los barrios más icónicos de Lima. ¡No pierdas la oportunidad de vivir donde siempre has querido! * precio de alquiler incluye mantenimientoContactoMachela 9. 4. 2. 6. 0. 3. 8. 9. 0. _________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias;2900.0
19;;S/ 4,168 · USD 1,200;;;;viviendas_adonde;Av Salaverry esquina con Elespuru;62 m² tot. | 2 dorm. | 1 baño | 1 estac.;Excelente departamento por estrenar de 02 dormitorios amueblado en un area de 62m2, tiene un mirador terraza al rededor del departamento, con sala y comedor, cocina abierta Kitchenette, lavanderia, 01 baño completo, 01 cochera grande, el edificio cuenta con areas comunes como piscina, gimnasio, zona de 5 parrillas, salon de mayores con billar y bar, coworking, lavanderia con maquinas industriales con secadoras, se Alquila en us$1, 200. 00 llamar al +Ver datos;41681200.0
20;;S/ 2,500;;;;viviendas_adonde;Jirón García y García;120 m² tot. | 2 baños;Alquilo amplia oficina en Jirón García y García. Excelente ubicación: super cerca de la plaza Butters, óvalo Balta y estación del Metropolitano, cerca de colegios, tiendas, restaurantes, etc. Edificio de 4 pisos, oficina en 4to piso con vista externa y 120mt2 muy bien distribuidos en: Hall de ingreso, 2 ambientes como oficinas, 3er ambiente amplio con buena iluminación natural y dos baños (damas y caballeros). El edificio cuenta con circuito cerrado de cámaras, doble puerta de ingreso, ascensor y amplias escaleras. El edificio cuenta con licencia de funcionamiento. 120mt2 S/2, 500 solesContacto: Carlos Flores Ver datos;2500.0
21;;S/ 2,500 · USD 740;;;;viviendas_adonde;Av. Ricardo Rivera Navarrete 665;45 m² tot. | 1 dorm. | 1 baño;Vive en el corazón financiero de San Isidro en este moderno departamento de 45 m², ideal para ejecutivos o parejas que buscan comodidad, seguridad y excelente ubicación. El departamento cuenta con 1 habitación amplia, 1 baño y un acogedor balcón que brinda buena iluminación y ventilación natural. Se encuentra equipado con luminarias, rollers instalados, terma y puerta de ducha de vidrio, listo para mudarte. Ubicado en edificio moderno con excelentes áreas comunes y seguridad permanente. Caracteristicas del departamento. 45 m² 1 dormitorio. 1 baño. Balcón. Luminarias instaladas. Rollers. Terma. Puerta de ducha de vidrio. Pet friendly. Áreas comunes del edificio: Recepción. Seguridad 24/7. Hall de ingreso. Piscina. JacuzzI. 2 áreas de bbq. Patio interno. Zona de lavandería. Gimnasio. Ubicación privilegiada en plena zona corporativa de San Isidro, cerca de bancos, restaurantes, cafés, supermercados y principales avenidas. Ideal para quienes trabajan en la zona y desean vivir a pasos de todo, en un edificio moderno con excelentes amenities. Condiciones. Periodo Minimo: 1 año. 2x1: 2 meses de garantía, 1 de adelanto de renta;2500740.0
22;;S/ 21,775 · USD 1,000,000;;;;viviendas_adonde;Av. El Derby;414 m² tot. | 4 baños | 10 estac.;¡Preciosa Oficina Premium de 416m2 con 10 Estacionamientos - Excelente Oportunidad! Centro Empresarial en Lima Central Tower. Se Alquila: $ 6, 500. Se Vende: $ 1, 000, 000. Amplia oficina implementada. La oficina tiene 416m2. Super iluminada. Oficinas privadas, sala de reuniones, zona de trabajo, kitchenette. Tiene 10 cocheras más un depósito. Es un edificio comercial con excelente tecnología, acabados y equipamiento de lujo en todas las áreas comunes: Lobby con control de acceso. 3 Salas de Conferencias (usos múltiples y modulares), 3 Salas de Directorio, Bar Ingles con terraza tipo lounge para recreación, 2 Café gourmet, Gimnasio con spa, sala de Yoga, cafetería para uso común, Área de pago a proveedores, Módulos de Baños para damas y caballeros, Aire acondicionado centralizado para todo el edificio. 20 ascensores de moderna tecnología con llamada anticipada y sistema anti temblores, Grupo Electrógeno, Chiller Central. Vende inmobiliaria mercedes solidoro. C. 9 9 6. 5 9 4. 6 3 3. // C. 9 9 8 3. 0 2. 9 8 9. **;217751000000.0
23;;S/ 43,995 · USD 12,577;;;;viviendas_adonde;Panamericana sur km, Villa el Salvador, Lima;2150 m² tot. | 10 dorm. | 8 baños | 4 estac.;Alquilo Local Industrial con Nave de 8. 2 m de Altura. Alquilo local industrial. muy cerca al km 19 de la panamericana sur. Calle 7 con Av. El sol - Villa el Salvador. Con licencia industrial con zonificación I2. Área total: 2, 150 m2. Nave industrial de 1950 m2 con techo de 8. 2 m2 con puerta corrediza automática y una puerta peatonal. Luz trifásica con 120kw. Piso de loza reforzada. Patio de maniobras + batería de baños y cocheras de 200m2. ¡Contáctame hoy y agenda tu visita! Jorge Salas G. Ver datos. lj. Precio: $5. 85 x m2 + igv. total: $12, 577 + igv;4399512577.0
24;;S/ 1,500 · USD 448;;;;viviendas_adonde;JR. LOS Helenios 3843;58 m² tot. | 2 dorm. | 1 baño;Alquiler de hermoso departamento frente de la municipaliad de los olivosubicado en Urb. Las palmeras, A cuadras de Mega Plaza, frente de la Municipalidad de Los Olivos Y A 5 minutos de plaza nortedescripción: -ac: 58 m2-Zonificación: rdmdistribución-Sala amplia, comedor2 dormitorios. - Cocina, amplia-1 baños, área de lavanderíaCaracterísticas generales- Colegios cercanos- Universidades- Centros comerciales como Mega Plaza y Plaza Norte. - Supermercados Metro, Plaza vea. - Centros de estudio, notaria, bancos, clínicas, restaurantes. - Documentos en regla. no esperes mas agenda una visita. R. U. C Ver datos;1500448.0
